                       OLS Regression Results                      
Dep. Variable:   ,click_bool      ,  R-squared:         ,   0.039  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.039  
Method:          ,Least Squares   ,  F-statistic:       ,   156.3  
Date:            ,Tue, 11 May 2021,  Prob (F-statistic):,  0.00    
Time:            ,23:22:27        ,  Log-Likelihood:    ,8.7973e+05
No. Observations:,4958347         ,  AIC:               ,-1.757e+06
Df Residuals:    ,4957043         ,  BIC:               ,-1.739e+06
Df Model:        ,  1303          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x579 ,   -0.0002,    0.000,   -1.516, 0.130,   -0.001, 6.51e-05
x580 ,   -0.0013,    0.000,   -3.088, 0.002,   -0.002,   -0.000
x581 ,   -0.0005, 7.66e-05,   -6.167, 0.000,   -0.001,   -0.000
x582 , 5.847e-08, 2.95e-07,    0.198, 0.843, -5.2e-07, 6.37e-07
x583 ,   -0.0072,    0.002,   -3.271, 0.001,   -0.011,   -0.003
x584 ,-1.522e-08, 9.73e-08,   -0.156, 0.876,-2.06e-07, 1.75e-07
x585 ,   -0.0003,    0.000,   -0.854, 0.393,   -0.001,    0.000
x586 ,-3.418e-05, 1.43e-05,   -2.398, 0.016,-6.21e-05,-6.25e-06
x587 ,   -0.0008,    0.001,   -0.734, 0.463,   -0.003,    0.001
x588 ,    0.0018,    0.001,    1.513, 0.130,   -0.001,    0.004
x589 ,   -0.0048,    0.002,   -1.948, 0.051,   -0.010, 2.93e-05
x590 ,   -0.0018,    0.002,   -1.153, 0.249,   -0.005,    0.001
x591 ,-1.219e-06, 4.08e-07,   -2.988, 0.003,-2.02e-06,-4.19e-07
x592 ,    0.0034,    0.002,    2.049, 0.040,    0.000,    0.007
x593 , 7.678e-06, 5.28e-06,    1.453, 0.146,-2.68e-06,  1.8e-05
x594 ,-2.963e-08, 2.56e-08,   -1.155, 0.248,-7.99e-08, 2.06e-08
x595 ,-6.143e-05,    0.000,   -0.398, 0.691,   -0.000,    0.000
x596 ,  4.18e-09, 6.58e-09,    0.635, 0.525,-8.72e-09, 1.71e-08
x597 , 2.507e-05, 2.75e-05,    0.912, 0.362,-2.88e-05, 7.89e-05
x598 , -2.96e-06, 1.21e-06,   -2.449, 0.014,-5.33e-06,-5.91e-07
x599 ,-8.399e-06, 7.44e-05,   -0.113, 0.910,   -0.000,    0.000
x600 ,    0.0001, 7.22e-05,    1.755, 0.079,-1.48e-05,    0.000
x601 ,    0.0001,    0.000,    0.827, 0.408,   -0.000,    0.000
x602 ,-4.004e-05,    0.000,   -0.359, 0.720,   -0.000,    0.000
x603 , 2.965e-08, 3.12e-08,    0.952, 0.341,-3.14e-08, 9.07e-08
x604 ,    0.0002,    0.000,    1.876, 0.061,-9.85e-06,    0.000
x605 ,-3.039e-09, 2.52e-09,   -1.206, 0.228,-7.98e-09,  1.9e-09
x606 , 4.632e-05, 2.77e-05,    1.671, 0.095,   -8e-06,    0.000
x607 , 1.139e-09, 1.21e-09,    0.941, 0.347,-1.23e-09, 3.51e-09
x608 , 2.429e-05, 5.07e-06,    4.788, 0.000, 1.43e-05, 3.42e-05
x609 ,  3.81e-07, 1.95e-07,    1.949, 0.051,-2.15e-09, 7.64e-07
x610 , 8.149e-06, 1.39e-05,    0.588, 0.557, -1.9e-05, 3.53e-05
x611 ,-8.004e-05, 1.41e-05,   -5.669, 0.000,   -0.000,-5.24e-05
x612 , 5.559e-05, 3.02e-05,    1.838, 0.066,-3.69e-06,    0.000
x613 , 1.788e-05, 2.05e-05,    0.871, 0.384,-2.23e-05, 5.81e-05
x614 ,-8.063e-09,  5.8e-09,   -1.391, 0.164,-1.94e-08,  3.3e-09
x615 , 6.563e-05, 2.15e-05,    3.054, 0.002, 2.35e-05,    0.000
x616 ,-2.344e-08, 4.59e-08,   -0.511, 0.610,-1.13e-07, 6.65e-08
x617 , 1.556e-11, 6.23e-12,    2.498, 0.012, 3.35e-12, 2.78e-11
x618 ,-2.656e-08, 2.74e-08,   -0.969, 0.333,-8.03e-08, 2.72e-08
x619 , 5.794e-10, 9.43e-10,    0.615, 0.539,-1.27e-09, 2.43e-09
x620 , 1.772e-07, 1.03e-07,    1.720, 0.086,-2.48e-08, 3.79e-07
x621 ,-1.701e-07,  8.1e-08,   -2.100, 0.036,-3.29e-07,-1.13e-08
x622 ,-6.933e-07, 2.59e-07,   -2.676, 0.007, -1.2e-06,-1.86e-07
x623 ,-3.015e-08, 9.18e-08,   -0.328, 0.743, -2.1e-07,  1.5e-07
x624 ,-4.382e-11, 6.13e-11,   -0.715, 0.474,-1.64e-10, 7.63e-11
x625 , 2.381e-08, 1.15e-07,    0.208, 0.835,-2.01e-07, 2.48e-07
x626 , 1.045e-07, 3.55e-08,    2.940, 0.003, 3.48e-08, 1.74e-07
x627 ,-9.046e-05,    0.000,   -0.661, 0.508,   -0.000,    0.000
x628 ,-7.983e-07, 5.89e-06,   -0.135, 0.892,-1.23e-05, 1.07e-05
x629 ,    0.0004,    0.000,    1.043, 0.297,   -0.000,    0.001
x630 ,   -0.0009,    0.000,   -2.222, 0.026,   -0.002,   -0.000
x631 ,    0.0002,    0.001,    0.260, 0.795,   -0.001,    0.002
x632 ,-6.372e-05,    0.001,   -0.105, 0.916,   -0.001,    0.001
x633 , 8.476e-09, 1.58e-07,    0.054, 0.957,-3.01e-07, 3.18e-07
x634 ,    0.0046,    0.001,    7.261, 0.000,    0.003,    0.006
x635 , 1.754e-08, 6.48e-09,    2.708, 0.007, 4.85e-09, 3.02e-08
x636 , 2.031e-10, 2.48e-10,    0.820, 0.412,-2.82e-10, 6.88e-10
x637 ,-4.249e-09, 1.76e-08,   -0.242, 0.809,-3.87e-08, 3.02e-08
x638 ,-1.006e-08,  1.8e-08,   -0.560, 0.575,-4.53e-08, 2.51e-08
x639 ,-2.014e-08, 3.83e-08,   -0.527, 0.599,-9.51e-08, 5.48e-08
x640 , 1.487e-08, 2.57e-08,    0.579, 0.563,-3.55e-08, 6.53e-08
x641 ,-5.933e-12,  7.4e-12,   -0.802, 0.423,-2.04e-11, 8.58e-12
x642 , 2.887e-08, 2.71e-08,    1.063, 0.288,-2.43e-08, 8.21e-08
x643 , 1.022e-06,  8.2e-07,    1.247, 0.213,-5.85e-07, 2.63e-06
x644 , 8.753e-05, 7.57e-05,    1.156, 0.247,-6.08e-05,    0.000
x645 ,    0.0003, 7.74e-05,    3.260, 0.001,    0.000,    0.000
x646 ,   -0.0006,    0.000,   -3.416, 0.001,   -0.001,   -0.000
x647 ,-5.793e-05,    0.000,   -0.337, 0.736,   -0.000,    0.000
x648 , 4.506e-08, 2.45e-08,    1.840, 0.066,-2.95e-09, 9.31e-08
x649 ,    0.0001,    0.000,    1.008, 0.313,   -0.000,    0.000
x650 ,-2.535e-06, 2.74e-06,   -0.925, 0.355,-7.91e-06, 2.84e-06
x651 ,-1.907e-06,  2.8e-06,   -0.682, 0.495,-7.39e-06, 3.57e-06
x652 , 3.728e-07, 5.77e-06,    0.065, 0.948,-1.09e-05, 1.17e-05
x653 , -5.23e-06, 4.29e-06,   -1.220, 0.223,-1.36e-05, 3.18e-06
x654 ,-1.896e-10, 9.33e-10,   -0.203, 0.839,-2.02e-09, 1.64e-09
x655 , 5.221e-06, 4.17e-06,    1.252, 0.211,-2.95e-06, 1.34e-05
x656 , -9.37e-06,    0.000,   -0.050, 0.960,   -0.000,    0.000
x657 ,   -0.0001,    0.000,   -0.783, 0.434,   -0.000,    0.000
x658 ,    0.0007,    0.000,    2.521, 0.012,    0.000,    0.001
x659 ,-1.209e-07, 8.24e-08,   -1.467, 0.142,-2.82e-07, 4.06e-08
x660 ,   -0.0006,    0.000,   -1.852, 0.064,   -0.001,  3.4e-05
x661 ,   -0.0005,    0.000,   -1.597, 0.110,   -0.001,    0.000
x662 ,    0.0003,    0.000,    1.065, 0.287,   -0.000,    0.001
x663 ,-1.212e-07, 9.78e-08,   -1.240, 0.215,-3.13e-07, 7.04e-08
x664 ,   -0.0001,    0.000,   -0.323, 0.746,   -0.001,    0.001
x665 ,   -0.0014,    0.001,   -2.098, 0.036,   -0.003,-8.93e-05
x666 , 2.422e-07, 1.78e-07,    1.358, 0.174,-1.07e-07, 5.92e-07
x667 ,    0.0018,    0.001,    2.645, 0.008,    0.000,    0.003
x668 , 1.844e-07, 1.26e-07,    1.462, 0.144,-6.29e-08, 4.32e-07
x669 ,   -0.0002,    0.000,   -0.537, 0.591,   -0.001,    0.001
x670 ,-7.656e-08, 1.31e-07,   -0.586, 0.558,-3.32e-07, 1.79e-07
x671 ,   -0.0003,    0.000,   -2.369, 0.018,   -0.001,-5.97e-05
x672 ,    0.0059,    0.002,    2.678, 0.007,    0.002,    0.010
x673 ,    0.0001,    0.000,    1.216, 0.224,-8.06e-05,    0.000
x674 , 2.425e-06, 2.13e-05,    0.114, 0.909,-3.92e-05, 4.41e-05
x675 ,-7.931e-09, 3.17e-08,   -0.250, 0.802,   -7e-08, 5.42e-08
x676 ,    0.0006,    0.001,    0.952, 0.341,   -0.001,    0.002
x677 , 6.894e-09, 2.58e-08,    0.267, 0.790,-4.38e-08, 5.75e-08
x678 ,-1.697e-05,    0.000,   -0.160, 0.873,   -0.000,    0.000
x679 ,   8.4e-06, 4.26e-06,    1.973, 0.049, 5.35e-08, 1.67e-05
x680 ,    0.0006,    0.000,    2.057, 0.040, 2.89e-05,    0.001
x681 ,    0.0013,    0.000,    4.009, 0.000,    0.001,    0.002
x682 ,   -0.0011,    0.001,   -1.755, 0.079,   -0.002,    0.000
x683 ,    0.0004,    0.000,    0.899, 0.369,   -0.000,    0.001
x684 , 3.098e-07, 1.22e-07,    2.544, 0.011, 7.11e-08, 5.49e-07
x685 ,    0.0007,    0.000,    1.521, 0.128,   -0.000,    0.002
x686 ,   -0.0035,    0.001,   -6.259, 0.000,   -0.005,   -0.002
x687 , 1.239e-06, 3.15e-05,    0.039, 0.969,-6.04e-05, 6.29e-05
x688 , 8.236e-05, 6.35e-06,   12.979, 0.000, 6.99e-05, 9.48e-05
x689 ,-9.951e-09, 1.61e-08,   -0.616, 0.538,-4.16e-08, 2.17e-08
x690 ,   -0.0007,    0.000,   -3.441, 0.001,   -0.001,   -0.000
x691 ,-8.242e-09, 7.87e-09,   -1.047, 0.295,-2.37e-08, 7.18e-09
x692 , 1.297e-05, 2.93e-05,    0.443, 0.658,-4.44e-05, 7.04e-05
x693 , 2.326e-06, 1.17e-06,    1.980, 0.048,  2.4e-08, 4.63e-06
x694 ,   -0.0002, 8.95e-05,   -1.822, 0.068,   -0.000, 1.24e-05
x695 , 5.785e-05, 9.91e-05,    0.583, 0.560,   -0.000,    0.000
x696 ,    0.0002,    0.000,    1.090, 0.276,   -0.000,    0.001
x697 ,-3.051e-05,    0.000,   -0.226, 0.821,   -0.000,    0.000
x698 , 5.957e-08, 3.19e-08,    1.868, 0.062,-2.93e-09, 1.22e-07
x699 ,    0.0001,    0.000,    0.979, 0.328,   -0.000,    0.000
x700 ,    0.0001,    0.001,    0.257, 0.797,   -0.001,    0.001
x701 ,   -0.0011, 9.07e-05,  -11.672, 0.000,   -0.001,   -0.001
x702 , 7.976e-08,    2e-07,    0.398, 0.690,-3.13e-07, 4.72e-07
x703 ,    0.0071,    0.003,    2.676, 0.007,    0.002,    0.012
x704 ,-5.709e-08, 1.13e-07,   -0.506, 0.613,-2.78e-07, 1.64e-07
x705 ,   -0.0002,    0.000,   -0.448, 0.654,   -0.001,    0.001
x706 , 1.847e-05, 1.72e-05,    1.072, 0.284,-1.53e-05, 5.22e-05
x707 ,    0.0041,    0.001,    3.073, 0.002,    0.001,    0.007
x708 ,    0.0015,    0.001,    0.991, 0.322,   -0.001,    0.004
x709 ,   -0.0054,    0.003,   -1.850, 0.064,   -0.011,    0.000
x710 ,   -0.0037,    0.002,   -1.952, 0.051,   -0.007, 1.46e-05
x711 , 8.996e-07,  4.5e-07,    2.000, 0.046, 1.79e-08, 1.78e-06
x712 ,    0.0007,    0.002,    0.344, 0.731,   -0.003,    0.004
x713 , 1.151e-05, 4.93e-06,    2.334, 0.020, 1.85e-06, 2.12e-05
x714 , 4.548e-08, 1.74e-08,    2.608, 0.009, 1.13e-08, 7.97e-08
x715 , 4.901e-05,    0.000,    0.333, 0.739,   -0.000,    0.000
x716 , 1.202e-09,  5.9e-09,    0.204, 0.839,-1.04e-08, 1.28e-08
x717 , -2.34e-05, 2.24e-05,   -1.042, 0.297,-6.74e-05, 2.06e-05
x718 ,-1.516e-06, 1.03e-06,   -1.470, 0.142,-3.54e-06, 5.05e-07
x719 ,    0.0002, 6.88e-05,    2.450, 0.014, 3.37e-05,    0.000
x720 , -5.68e-06, 7.06e-05,   -0.080, 0.936,   -0.000,    0.000
x721 ,   -0.0002,    0.000,   -1.055, 0.291,   -0.000,    0.000
x722 ,   -0.0002,    0.000,   -1.911, 0.056,   -0.000, 5.12e-06
x723 ,-3.476e-09, 2.62e-08,   -0.133, 0.895,-5.49e-08, 4.79e-08
x724 , 8.504e-05,    0.000,    0.807, 0.420,   -0.000,    0.000
x725 ,-5.429e-10, 1.52e-09,   -0.358, 0.721,-3.52e-09, 2.43e-09
x726 ,   -0.0001, 2.86e-05,   -4.884, 0.000,   -0.000,-8.37e-05
x727 ,-2.227e-10, 1.16e-09,   -0.193, 0.847,-2.49e-09, 2.04e-09
x728 ,  1.51e-06, 4.47e-06,    0.338, 0.735,-7.25e-06, 1.03e-05
x729 ,-9.865e-07, 1.89e-07,   -5.230, 0.000,-1.36e-06,-6.17e-07
x730 ,-7.488e-07, 1.35e-05,   -0.055, 0.956,-2.73e-05, 2.58e-05
x731 ,-7.602e-05, 1.44e-05,   -5.268, 0.000,   -0.000,-4.77e-05
x732 ,-1.637e-05, 2.95e-05,   -0.556, 0.578,-7.41e-05, 4.14e-05
x733 , -1.63e-06, 2.02e-05,   -0.081, 0.936,-4.12e-05,  3.8e-05
x734 ,-1.769e-08, 5.13e-09,   -3.445, 0.001,-2.77e-08,-7.63e-09
x735 ,    0.0001, 2.05e-05,    6.363, 0.000, 9.01e-05,    0.000
x736 , 4.854e-08, 3.88e-08,    1.252, 0.211,-2.74e-08, 1.25e-07
x737 , -2.12e-12, 4.69e-12,   -0.452, 0.652,-1.13e-11, 7.08e-12
x738 , 2.908e-08, 2.66e-08,    1.093, 0.274,-2.31e-08, 8.12e-08
x739 ,-6.123e-10, 4.95e-10,   -1.237, 0.216,-1.58e-09, 3.58e-10
x740 , 4.939e-08, 7.28e-08,    0.679, 0.497,-9.33e-08, 1.92e-07
x741 ,-7.739e-09, 5.01e-08,   -0.155, 0.877,-1.06e-07, 9.04e-08
x742 ,-6.977e-08, 1.36e-07,   -0.515, 0.607,-3.35e-07, 1.96e-07
x743 , 2.395e-08, 5.81e-08,    0.412, 0.680,-8.99e-08, 1.38e-07
x744 , 4.357e-11, 4.09e-11,    1.066, 0.287,-3.66e-11, 1.24e-10
x745 ,-8.827e-08, 8.09e-08,   -1.091, 0.275,-2.47e-07, 7.04e-08
x746 , 6.737e-08, 3.51e-08,    1.920, 0.055, -1.4e-09, 1.36e-07
x747 ,    0.0001,    0.000,    1.128, 0.260,   -0.000,    0.000
x748 , 8.364e-06,    6e-06,    1.394, 0.163,-3.39e-06, 2.01e-05
x749 ,  7.76e-06,    0.000,    0.020, 0.984,   -0.001,    0.001
x750 ,    0.0003,    0.000,    0.717, 0.474,   -0.001,    0.001
x751 ,    0.0004,    0.001,    0.491, 0.623,   -0.001,    0.002
x752 ,   -0.0007,    0.001,   -1.124, 0.261,   -0.002,    0.001
x753 , 4.794e-08, 1.42e-07,    0.338, 0.735, -2.3e-07, 3.26e-07
x754 ,   -0.0005,    0.001,   -0.742, 0.458,   -0.002,    0.001
x755 , 3.166e-09, 5.41e-09,    0.585, 0.558,-7.43e-09, 1.38e-08
x756 ,-2.018e-10, 2.27e-10,   -0.888, 0.375,-6.47e-10, 2.44e-10
x757 , 6.685e-09, 1.63e-08,    0.409, 0.683,-2.54e-08, 3.87e-08
x758 , 4.905e-09, 1.76e-08,    0.279, 0.781,-2.96e-08, 3.94e-08
x759 , 2.693e-08, 3.57e-08,    0.755, 0.450, -4.3e-08, 9.68e-08
x760 ,-3.406e-09, 2.44e-08,   -0.140, 0.889,-5.11e-08, 4.43e-08
x761 , 7.943e-12, 6.23e-12,    1.275, 0.202,-4.27e-12, 2.02e-11
x762 ,-7.546e-09, 2.48e-08,   -0.305, 0.761,-5.61e-08,  4.1e-08
x763 , 6.229e-08, 6.71e-07,    0.093, 0.926,-1.25e-06, 1.38e-06
x764 ,-3.236e-05, 6.47e-05,   -0.501, 0.617,   -0.000, 9.44e-05
x765 ,-9.591e-05, 6.98e-05,   -1.373, 0.170,   -0.000,  4.1e-05
x766 ,    0.0002,    0.000,    1.163, 0.245,   -0.000,    0.000
x767 ,    0.0002,    0.000,    1.425, 0.154,-8.79e-05,    0.001
x768 ,-3.332e-09, 1.94e-08,   -0.172, 0.863,-4.13e-08, 3.46e-08
x769 ,   -0.0001,  9.2e-05,   -1.264, 0.206,   -0.000,  6.4e-05
x770 ,-1.006e-06, 2.58e-06,   -0.390, 0.696,-6.06e-06, 4.04e-06
x771 ,  5.01e-06, 2.72e-06,    1.840, 0.066,-3.26e-07, 1.03e-05
x772 ,  2.35e-06, 5.75e-06,    0.409, 0.683,-8.92e-06, 1.36e-05
x773 , 3.843e-06, 4.09e-06,    0.940, 0.347,-4.17e-06, 1.19e-05
x774 ,-7.943e-10, 8.12e-10,   -0.979, 0.328,-2.39e-09, 7.97e-10
x775 ,-5.579e-06, 3.88e-06,   -1.438, 0.150,-1.32e-05, 2.03e-06
x776 ,   -0.0001,    0.000,   -0.651, 0.515,   -0.000,    0.000
x777 ,-1.969e-05,    0.000,   -0.153, 0.878,   -0.000,    0.000
x778 ,-8.142e-05,    0.000,   -0.285, 0.776,   -0.001,    0.000
x779 , 1.403e-07,  7.2e-08,    1.948, 0.051,-8.82e-10, 2.81e-07
x780 ,    0.0003,    0.000,    0.885, 0.376,   -0.000,    0.001
x781 ,   -0.0002,    0.000,   -0.713, 0.476,   -0.001,    0.000
x782 ,-6.932e-05,    0.000,   -0.223, 0.824,   -0.001,    0.001
x783 ,-1.446e-07, 8.79e-08,   -1.645, 0.100,-3.17e-07, 2.77e-08
x784 ,   -0.0003,    0.000,   -0.877, 0.381,   -0.001,    0.000
x785 ,    0.0002,    0.001,    0.258, 0.796,   -0.001,    0.001
x786 , 7.031e-08, 1.54e-07,    0.455, 0.649,-2.32e-07, 3.73e-07
x787 ,   -0.0008,    0.001,   -1.332, 0.183,   -0.002,    0.000
x788 , 3.199e-08, 1.09e-07,    0.293, 0.770,-1.82e-07, 2.46e-07
x789 ,   -0.0005,    0.000,   -1.260, 0.208,   -0.001,    0.000
x790 ,-3.418e-07,  1.1e-07,   -3.115, 0.002,-5.57e-07,-1.27e-07
x791 ,   -0.0041,    0.001,   -3.596, 0.000,   -0.006,   -0.002
x792 , 9.605e-05, 8.37e-05,    1.148, 0.251, -6.8e-05,    0.000
x793 ,  7.47e-06, 1.52e-05,    0.493, 0.622,-2.23e-05, 3.72e-05
x794 ,-4.925e-09, 3.22e-08,   -0.153, 0.878, -6.8e-08, 5.81e-08
x795 ,   -0.0012,    0.000,   -3.339, 0.001,   -0.002,   -0.001
x796 , 4.322e-08, 1.93e-08,    2.235, 0.025, 5.33e-09, 8.11e-08
x797 ,   -0.0001,    8e-05,   -1.574, 0.116,   -0.000, 3.09e-05
x798 , 4.852e-07, 3.01e-06,    0.161, 0.872,-5.41e-06, 6.38e-06
x799 ,    0.0005,    0.000,    2.131, 0.033, 3.61e-05,    0.001
x800 ,    0.0010,    0.000,    4.551, 0.000,    0.001,    0.001
x801 ,    0.0003,    0.000,    0.753, 0.452,   -0.001,    0.001
x802 ,-3.298e-05,    0.000,   -0.102, 0.919,   -0.001,    0.001
x803 ,-5.265e-07, 8.74e-08,   -6.022, 0.000,-6.98e-07,-3.55e-07
x804 ,    0.0013,    0.000,    3.677, 0.000,    0.001,    0.002
x805 ,   -0.0005,    0.001,   -0.587, 0.557,   -0.002,    0.001
x806 ,    0.0013,    0.000,    7.749, 0.000,    0.001,    0.002
x807 , 2.549e-08, 5.01e-07,    0.051, 0.959,-9.56e-07, 1.01e-06
x808 ,    0.0016,    0.004,    0.441, 0.659,   -0.006,    0.009
x809 ,-4.741e-08, 1.96e-07,   -0.242, 0.809,-4.32e-07, 3.37e-07
x810 ,    0.0019,    0.001,    2.107, 0.035,    0.000,    0.004
x811 , 1.059e-06, 3.17e-05,    0.033, 0.973, -6.1e-05, 6.31e-05
x812 ,    0.0022,    0.002,    1.006, 0.314,   -0.002,    0.007
x813 ,   -0.0102,    0.003,   -4.060, 0.000,   -0.015,   -0.005
x814 ,   -0.0013,    0.005,   -0.292, 0.771,   -0.010,    0.008
x815 ,    0.0011,    0.003,    0.314, 0.754,   -0.006,    0.008
x816 , 3.032e-06, 9.02e-07,    3.362, 0.001, 1.26e-06,  4.8e-06
x817 ,    0.0026,    0.004,    0.746, 0.456,   -0.004,    0.010
x818 ,-1.186e-05, 1.16e-05,   -1.026, 0.305,-3.45e-05, 1.08e-05
x819 ,-2.113e-08, 2.71e-08,   -0.780, 0.435,-7.42e-08,  3.2e-08
x820 ,   -0.0003,    0.000,   -1.134, 0.257,   -0.001,    0.000
x821 ,  1.61e-08, 1.43e-08,    1.128, 0.259,-1.19e-08, 4.41e-08
x822 ,   -0.0001, 6.02e-05,   -2.064, 0.039,   -0.000,-6.27e-06
x823 ,-7.666e-07, 2.61e-06,   -0.293, 0.769,-5.89e-06, 4.36e-06
x824 ,-4.428e-05,    0.000,   -0.286, 0.775,   -0.000,    0.000
x825 ,-2.226e-05,    0.000,   -0.143, 0.886,   -0.000,    0.000
x826 ,    0.0002,    0.000,    0.473, 0.636,   -0.000,    0.001
x827 ,    0.0002,    0.000,    0.947, 0.344,   -0.000,    0.001
x828 ,  -2.3e-08, 6.85e-08,   -0.336, 0.737,-1.57e-07, 1.11e-07
x829 , 4.193e-05,    0.000,    0.163, 0.870,   -0.000,    0.001
x830 , 2.338e-09, 3.36e-09,    0.696, 0.486,-4.24e-09, 8.92e-09
x831 , 1.679e-05, 4.84e-05,    0.347, 0.728, -7.8e-05,    0.000
x832 ,-6.302e-09, 2.56e-09,   -2.460, 0.014,-1.13e-08,-1.28e-09
x833 ,  2.28e-06, 1.09e-05,    0.209, 0.835,-1.91e-05, 2.37e-05
x834 , 6.125e-07, 4.16e-07,    1.474, 0.141,-2.02e-07, 1.43e-06
x835 ,    0.0001, 2.84e-05,    5.082, 0.000, 8.86e-05,    0.000
x836 ,   -0.0002, 2.96e-05,   -5.201, 0.000,   -0.000, -9.6e-05
x837 ,   -0.0003,    6e-05,   -5.316, 0.000,   -0.000,   -0.000
x838 ,-7.896e-05, 4.36e-05,   -1.810, 0.070,   -0.000, 6.53e-06
x839 ,-2.686e-08, 1.23e-08,   -2.184, 0.029, -5.1e-08,-2.75e-09
x840 ,  3.48e-07, 4.62e-05,    0.008, 0.994,-9.02e-05, 9.09e-05
x841 , 8.908e-08, 6.31e-08,    1.411, 0.158,-3.46e-08, 2.13e-07
x842 , 9.176e-12, 7.45e-12,    1.232, 0.218,-5.43e-12, 2.38e-11
x843 ,-1.447e-08, 3.07e-08,   -0.471, 0.638,-7.47e-08, 4.57e-08
x844 , 5.896e-10, 1.34e-09,    0.440, 0.660,-2.04e-09, 3.22e-09
x845 ,-8.419e-08, 1.38e-07,   -0.608, 0.543,-3.56e-07, 1.87e-07
x846 ,-1.333e-07, 1.16e-07,   -1.153, 0.249, -3.6e-07, 9.33e-08
x847 ,  2.18e-07, 2.54e-07,    0.858, 0.391, -2.8e-07, 7.16e-07
x848 , 4.673e-08, 1.19e-07,    0.392, 0.695,-1.87e-07, 2.81e-07
x849 , 6.193e-11, 8.55e-11,    0.725, 0.469,-1.06e-10, 2.29e-10
x850 , 5.209e-08, 1.43e-07,    0.364, 0.716,-2.29e-07, 3.33e-07
x851 , 1.811e-08, 6.07e-08,    0.298, 0.766,-1.01e-07, 1.37e-07
x852 ,   -0.0002,    0.000,   -0.972, 0.331,   -0.001,    0.000
x853 ,-3.077e-05, 1.02e-05,   -3.022, 0.003,-5.07e-05,-1.08e-05
x854 ,   -0.0020,    0.001,   -3.085, 0.002,   -0.003,   -0.001
x855 ,   -0.0014,    0.001,   -1.965, 0.049,   -0.003,-3.71e-06
x856 ,    0.0029,    0.001,    2.154, 0.031,    0.000,    0.006
x857 ,   -0.0010,    0.001,   -0.931, 0.352,   -0.003,    0.001
x858 ,-2.152e-07, 2.81e-07,   -0.767, 0.443,-7.65e-07, 3.35e-07
x859 ,   -0.0003,    0.001,   -0.284, 0.776,   -0.003,    0.002
x860 , -5.11e-09, 1.35e-08,   -0.377, 0.706,-3.17e-08, 2.14e-08
x861 ,-2.844e-10, 5.18e-10,   -0.549, 0.583, -1.3e-09, 7.31e-10
x862 ,  -1.5e-08, 3.53e-08,   -0.425, 0.671,-8.41e-08, 5.41e-08
x863 , 3.211e-08, 3.77e-08,    0.852, 0.394,-4.18e-08, 1.06e-07
x864 , 6.619e-08,  7.3e-08,    0.906, 0.365, -7.7e-08, 2.09e-07
x865 ,-9.312e-08,  5.4e-08,   -1.726, 0.084,-1.99e-07, 1.26e-08
x866 ,-8.242e-12, 1.52e-11,   -0.541, 0.589,-3.81e-11, 2.16e-11
x867 , 6.273e-09, 5.73e-08,    0.110, 0.913,-1.06e-07, 1.19e-07
x868 ,-2.145e-06, 1.73e-06,   -1.242, 0.214,-5.53e-06, 1.24e-06
x869 ,    0.0004,    0.000,    2.607, 0.009,    0.000,    0.001
x870 ,   -0.0001,    0.000,   -0.938, 0.348,   -0.000,    0.000
x871 ,-8.749e-05,    0.000,   -0.266, 0.790,   -0.001,    0.001
x872 ,    0.0006,    0.000,    1.544, 0.123,   -0.000,    0.001
x873 ,-3.708e-08, 5.15e-08,   -0.720, 0.471,-1.38e-07, 6.38e-08
x874 ,    0.0004,    0.000,    1.702, 0.089, -5.9e-05,    0.001
x875 ,  1.35e-06, 5.48e-06,    0.246, 0.805,-9.39e-06, 1.21e-05
x876 ,-1.031e-05, 5.81e-06,   -1.775, 0.076,-2.17e-05, 1.07e-06
x877 ,-2.226e-05,  1.1e-05,   -2.017, 0.044,-4.39e-05,-6.26e-07
x878 , 5.116e-06,  9.1e-06,    0.562, 0.574,-1.27e-05, 2.29e-05
x879 ,-2.298e-09, 1.93e-09,   -1.192, 0.233,-6.08e-09, 1.48e-09
x880 , 3.692e-05, 8.76e-06,    4.213, 0.000, 1.97e-05, 5.41e-05
x881 ,   -0.0005,    0.000,   -1.522, 0.128,   -0.001,    0.000
x882 ,-9.297e-05,    0.000,   -0.354, 0.723,   -0.001,    0.000
x883 ,    0.0008,    0.001,    1.307, 0.191,   -0.000,    0.002
x884 , -1.61e-07, 1.68e-07,   -0.961, 0.337,-4.89e-07, 1.67e-07
x885 ,   -0.0010,    0.001,   -1.590, 0.112,   -0.002,    0.000
x886 ,    0.0004,    0.001,    0.539, 0.590,   -0.001,    0.002
x887 ,   -0.0003,    0.001,   -0.482, 0.630,   -0.002,    0.001
x888 , 4.262e-07, 2.05e-07,    2.083, 0.037, 2.52e-08, 8.27e-07
x889 ,   -0.0009,    0.001,   -1.327, 0.184,   -0.002,    0.000
x890 ,   -0.0013,    0.001,   -1.059, 0.289,   -0.004,    0.001
x891 , 1.086e-07,  3.4e-07,    0.319, 0.750,-5.58e-07, 7.75e-07
x892 ,    0.0030,    0.001,    2.265, 0.024,    0.000,    0.006
