                       OLS Regression Results                      
Dep. Variable:   ,click_bool      ,  R-squared:         ,   0.039  
Model:           ,OLS             ,  Adj. R-squared:    ,   0.039  
Method:          ,Least Squares   ,  F-statistic:       ,   156.3  
Date:            ,Tue, 11 May 2021,  Prob (F-statistic):,  0.00    
Time:            ,23:22:27        ,  Log-Likelihood:    ,8.7973e+05
No. Observations:,4958347         ,  AIC:               ,-1.757e+06
Df Residuals:    ,4957043         ,  BIC:               ,-1.739e+06
Df Model:        ,  1303          ,                     ,          
Covariance Type: ,nonrobust       ,                     ,          
     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x149 , 5.166e-07, 1.29e-06,    0.401, 0.688,-2.01e-06, 3.04e-06
x150 ,   -0.0004, 8.12e-05,   -5.540, 0.000,   -0.001,   -0.000
x151 , 4.722e-05, 8.86e-05,    0.533, 0.594,   -0.000,    0.000
x152 ,   -0.0004,    0.000,   -2.492, 0.013,   -0.001,-9.16e-05
x153 ,   -0.0003,    0.000,   -1.978, 0.048,   -0.001,-2.32e-06
x154 , 1.076e-07, 4.04e-08,    2.666, 0.008, 2.85e-08, 1.87e-07
x155 , 1.702e-05,    0.000,    0.124, 0.901,   -0.000,    0.000
x156 , 4.244e-07, 4.55e-07,    0.932, 0.351,-4.68e-07, 1.32e-06
x157 , 1.945e-10, 1.03e-10,    1.889, 0.059,-7.27e-12, 3.96e-10
x158 ,-2.489e-06, 7.62e-07,   -3.266, 0.001,-3.98e-06,-9.95e-07
x159 ,-4.773e-08, 2.47e-08,   -1.936, 0.053, -9.6e-08, 5.87e-10
x160 ,-1.025e-06, 1.08e-06,   -0.945, 0.345,-3.15e-06,  1.1e-06
x161 , 3.676e-06, 1.88e-06,    1.954, 0.051,-1.13e-08, 7.36e-06
x162 , 6.352e-07, 2.95e-06,    0.215, 0.829,-5.14e-06, 6.42e-06
x163 ,-5.598e-06,  1.7e-06,   -3.295, 0.001,-8.93e-06,-2.27e-06
x164 , 1.842e-10, 9.91e-10,    0.186, 0.852,-1.76e-09, 2.13e-09
x165 ,  5.26e-06, 2.68e-06,    1.964, 0.050, 1.14e-08, 1.05e-05
x166 ,-5.239e-07,  2.2e-07,   -2.380, 0.017,-9.55e-07,-9.25e-08
x167 ,    0.0008,    0.001,    0.882, 0.378,   -0.001,    0.002
x168 ,-1.526e-05, 3.93e-05,   -0.388, 0.698,-9.23e-05, 6.18e-05
x169 ,   -0.0006,    0.002,   -0.244, 0.807,   -0.005,    0.004
x170 ,   -0.0050,    0.003,   -1.918, 0.055,   -0.010,    0.000
x171 ,   -0.0112,    0.005,   -2.385, 0.017,   -0.020,   -0.002
x172 ,    0.0017,    0.004,    0.453, 0.651,   -0.006,    0.009
x173 ,-1.942e-06, 1.09e-06,   -1.783, 0.075,-4.08e-06, 1.93e-07
x174 ,   -0.0227,    0.004,   -5.542, 0.000,   -0.031,   -0.015
x175 ,-6.417e-08, 4.03e-08,   -1.592, 0.111,-1.43e-07, 1.48e-08
x176 , 2.358e-10, 1.62e-09,    0.145, 0.885,-2.95e-09, 3.42e-09
